source_partner,source_country,destination_country,gsv
#####,Thailand,Bangladesh,14
#####,Thailand,Germany,164
#####,Thailand,Ghana,1917
#####,Thailand,India,85967
#####,Thailand,Indonesia,24894
#####,Thailand,Kenya,3903
#####,Thailand,Lithuania,11
#####,Thailand,Malaysia,15450
#####,Thailand,Pakistan,14149
#####,Thailand,Philippines,6913
#####,Thailand,Turkey,14314
#####,Thailand,Uganda,1
#####,Thailand,United Arab Emirates,1
#####,Thailand,United Kingdom,267
#####,Thailand,Viet Nam,4555
#####,Viet Nam,Australia,1
#####,Viet Nam,Hong Kong,1
#####,Viet Nam,"Korea, Republic of",1
#####,Viet Nam,Singapore,19900
#####,Viet Nam,United States of America,6
#####,Jordan,Bangladesh,2
#####,Jordan,Belgium,22431
#####,Jordan,Canada,29537
#####,Jordan,Denmark,1326
#####,Jordan,Germany,36988
#####,Jordan,Ireland,480
#####,Jordan,Italy,9063
#####,Jordan,Netherlands,2222
#####,Jordan,Pakistan,104
#####,Jordan,Philippines,576
#####,Jordan,Spain,4731
#####,Jordan,United Kingdom,94631
#####,Jordan,United States of America,58615
#####,South Africa,Botswana,178
#####,South Africa,"Congo, Democratic Republic of the",4
#####,South Africa,Kenya,98
#####,South Africa,Malawi,24
#####,South Africa,Mozambique,13
#####,South Africa,Nigeria,12
#####,South Africa,Zambia,328
#####,Chile,Bolivia (Plurinational State of),16254
#####,Chile,Colombia,1662752
#####,Chile,Haiti,9049
#####,Chile,Peru,2330
#####,Australia,Bangladesh,18102
#####,Australia,Cambodia,3
#####,Australia,Egypt,1419309
#####,Australia,Ethiopia,1
#####,Australia,India,4249
#####,Australia,Indonesia,25687
#####,Australia,Kenya,35589
#####,Australia,"Korea, Republic of",1
#####,Australia,Malaysia,8058
#####,Australia,Morocco,3
#####,Australia,Nepal,7
#####,Australia,Nigeria,6264
#####,Australia,Pakistan,93175
#####,Australia,Philippines,21120
#####,Australia,South Africa,5215
#####,Australia,Sri Lanka,12895
#####,Australia,Thailand,33
#####,Australia,Turkey,20140
#####,Australia,Viet Nam,5778
#####,Australia,Zimbabwe,516
#####,United States of America,Cameroon,22
#####,United States of America,Egypt,3
#####,United States of America,Ethiopia,2
#####,United States of America,Ghana,4982
#####,United States of America,Haiti,9
#####,United States of America,India,1
#####,United States of America,Kenya,5
#####,United States of America,Mexico,1
#####,United States of America,Philippines,3
#####,United States of America,Uganda,4
#####,Sierra Leone,Ghana,24089
#####,Sierra Leone,India,26440
#####,Sierra Leone,Italy,14
#####,Sierra Leone,Nigeria,1370
#####,Sierra Leone,Senegal,0
#####,Sierra Leone,Turkey,5
#####,Sierra Leone,United Arab Emirates,4
#####,Sierra Leone,United States of America,30
#####,Austria,Cameroon,1723
#####,Austria,Zambia,2712
#####,Belgium,Cameroon,4898
#####,Belgium,Ethiopia,109
#####,Belgium,Zambia,2806
#####,Cyprus,Cameroon,6373
#####,Denmark,Cameroon,14507
#####,Denmark,Zambia,9547
#####,Finland,Cameroon,13024
#####,Finland,Ethiopia,119
#####,Finland,Zambia,853
#####,France,Cameroon,6000
#####,France,Ethiopia,18827
#####,France,Zambia,11
#####,Germany,Cameroon,18242
#####,Germany,Ethiopia,1658
#####,Germany,Zambia,16758
#####,Greece,Cameroon,6420
#####,Greece,Ethiopia,239
#####,Ireland,Cameroon,13987
#####,Ireland,Ethiopia,2607
#####,Ireland,Zambia,12189
#####,Italy,Cameroon,1987
#####,Italy,Ethiopia,2813
#####,Italy,Zambia,2729
#####,Latvia,Zambia,21
#####,Lithuania,Cameroon,2823
#####,Malta,Cameroon,1835
#####,Malta,Zambia,212
#####,Netherlands,Cameroon,22001
#####,Netherlands,Ethiopia,474
#####,Netherlands,Zambia,3238
#####,Norway,Cameroon,7329
#####,Norway,Ethiopia,158
#####,Norway,Zambia,470
#####,Poland,Cameroon,11765
#####,Romania,Cameroon,9310
#####,Romania,Ethiopia,769
#####,Romania,Zambia,905
#####,Sweden,Cameroon,37380
#####,Sweden,Ethiopia,1073
#####,Sweden,Zambia,2918
#####,Switzerland,Cameroon,6120
#####,Switzerland,Zambia,55
#####,United Kingdom,Cameroon,22325
#####,United Kingdom,Ethiopia,468
#####,United Kingdom,Zambia,98923
#####,Uganda,Guinea-Bissau,5
#####,Uganda,Kenya,3433129
#####,Uganda,Mozambique,4215
#####,Uganda,South Sudan,2663
#####,Malaysia,Bangladesh,12
#####,Malaysia,India,5
#####,Malaysia,Indonesia,7090233
#####,Malaysia,Philippines,1
#####,Kuwait,Bangladesh,10082666
#####,Kuwait,Belgium,5183
#####,Kuwait,Benin,20073
#####,Kuwait,Bulgaria,14068
#####,Kuwait,Canada,105403
#####,Kuwait,C̫te d'Ivoire,6
#####,Kuwait,Cyprus,671
#####,Kuwait,Ghana,1665907
#####,Kuwait,Hungary,1101
#####,Kuwait,Ireland,5433
#####,Kuwait,Italy,22
#####,Kuwait,Kenya,686574
#####,Kuwait,Netherlands,7022
#####,Kuwait,Nigeria,5211
#####,Kuwait,Pakistan,1512756
#####,Kuwait,Philippines,622707
#####,Kuwait,Portugal,90586
#####,Kuwait,Rwanda,67172
#####,Kuwait,Senegal,3
#####,Kuwait,Spain,15424
#####,Kuwait,Sri Lanka,97739
#####,Kuwait,Tanzania,113
#####,Kuwait,Uganda,41833
#####,Kuwait,United Kingdom,282566
#####,Jordan,Canada,1
#####,Jordan,China,1
#####,Jordan,Cyprus,978
#####,Jordan,Egypt,2
#####,Jordan,Germany,4
#####,Jordan,India,1
#####,Jordan,Italy,4
#####,Jordan,Netherlands,12865
#####,Jordan,Spain,3150
#####,Jordan,Turkey,229
#####,Jordan,United Kingdom,70120
#####,Jordan,United States of America,1
#####,Qatar,Bangladesh,23652508
#####,Qatar,China,25839
#####,Qatar,Ethiopia,168562
#####,Qatar,Ghana,14794032
#####,Qatar,India,5
#####,Qatar,Kenya,71929182
#####,Qatar,Malaysia,573942
#####,Qatar,Nepal,1607244
#####,Qatar,Nigeria,73752
#####,Qatar,Pakistan,23229
#####,Qatar,Philippines,2
#####,Qatar,Sri Lanka,1
#####,Qatar,Tunisia,21191
#####,Qatar,Turkey,732880
#####,Qatar,Uganda,19875443
#####,Qatar,United States of America,5
#####,Qatar,Austria,390
#####,Qatar,Bangladesh,5
#####,Qatar,Belgium,46320
#####,Qatar,Bulgaria,36166
#####,Qatar,Cameroon,2
#####,Qatar,Croatia,11594
#####,Qatar,Cyprus, -   
#####,Qatar,Czechia,1358
#####,Qatar,Denmark,434
#####,Qatar,Ethiopia,12184
#####,Qatar,Finland,8763
#####,Qatar,France,43250
#####,Qatar,Germany,153727
#####,Qatar,Ghana,0
#####,Qatar,Greece,59430
#####,Qatar,Hungary,1054
#####,Qatar,India,3
#####,Qatar,Indonesia,2
#####,Qatar,Ireland,23576
#####,Qatar,Italy,184715
#####,Qatar,"Korea, Republic of",41
#####,Qatar,Latvia,5010
#####,Qatar,Lithuania,43766
#####,Qatar,Malaysia,2
#####,Qatar,Malta,826
#####,Qatar,Nepal,2
#####,Qatar,Netherlands,52348
#####,Qatar,Norway,11689
#####,Qatar,Pakistan,102
#####,Qatar,Philippines,3
#####,Qatar,Poland,18502
#####,Qatar,Portugal,89860
#####,Qatar,Romania,36381
#####,Qatar,Slovakia,28988
#####,Qatar,Slovenia,2097
#####,Qatar,Spain,255535
#####,Qatar,Sweden,2926
#####,Qatar,Switzerland,9019
#####,Qatar,Tanzania,4316
#####,Qatar,Turkey,3
#####,Qatar,Uganda,20703
#####,Qatar,United Kingdom,1186103
#####,Qatar,United States of America,167316
#####,Qatar,Bangladesh,4966926
#####,Qatar,Belgium,5775
#####,Qatar,Egypt,7
#####,Qatar,Ghana,12
#####,Qatar,India,264181
#####,Qatar,Indonesia,45
#####,Qatar,Italy,7632
#####,Qatar,Kenya,11302
#####,Qatar,Morocco,10
#####,Qatar,Nepal,3061942
#####,Qatar,Nigeria,0
#####,Qatar,Pakistan,459
#####,Qatar,Philippines,32499
#####,Qatar,Sri Lanka,9716
#####,Qatar,Tunisia,7
#####,Qatar,Uganda,5
#####,Kuwait,Bangladesh,2
#####,Kuwait,Egypt,0
#####,Kuwait,India,6
#####,Kuwait,Pakistan,1
#####,Kuwait,Philippines,3
#####,Kuwait,Turkey,1
#####,Kuwait,Bangladesh,724325
#####,Kuwait,Belgium,446
#####,Kuwait,Benin,27460329
#####,Kuwait,Botswana,3
#####,Kuwait,Burkina Faso,315125
#####,Kuwait,Cameroon,1139032
#####,Kuwait,Canada,1012409
#####,Kuwait,China,12731
#####,Kuwait,C̫te d'Ivoire,1949156
#####,Kuwait,Ethiopia,181138
#####,Kuwait,Ghana,20636943
#####,Kuwait,Guinea,20228
#####,Kuwait,Indonesia,3769922
#####,Kuwait,Kenya,9290558
#####,Kuwait,Madagascar,14139
#####,Kuwait,Malawi,15
#####,Kuwait,Mali,4481892
#####,Kuwait,Morocco,539983
#####,Kuwait,Nigeria,1256820
#####,Kuwait,Philippines,412742
#####,Kuwait,Rwanda,139709
#####,Kuwait,Senegal,70071
#####,Kuwait,Sierra Leone,51748
#####,Kuwait,Tanzania,397001
#####,Kuwait,Thailand,5870875
#####,Kuwait,Togo,97345
#####,Kuwait,Tunisia,1
#####,Kuwait,Turkey,3065926
#####,Kuwait,Uganda,6520258
#####,Kuwait,Viet Nam,1127324
#####,Kuwait,Bangladesh,5211127
#####,Kuwait,Benin,228865
#####,Kuwait,Cameroon,4675
#####,Kuwait,China,14166
#####,Kuwait,"Congo, Democratic Republic of the",3
#####,Kuwait,C̫te d'Ivoire,40565
#####,Kuwait,Ethiopia,1418
#####,Kuwait,Ghana,132964
#####,Kuwait,India,260453
#####,Kuwait,Indonesia,107685
#####,Kuwait,Kenya,38278
#####,Kuwait,Madagascar,6
#####,Kuwait,Malawi,252
#####,Kuwait,Malaysia,2272014
#####,Kuwait,Mali,96930
#####,Kuwait,Nepal,7489
#####,Kuwait,Nigeria,855
#####,Kuwait,Pakistan,1758080
#####,Kuwait,Philippines,11094390
#####,Kuwait,Rwanda,297
#####,Kuwait,Senegal,51874
#####,Kuwait,Sri Lanka,35322
#####,Kuwait,Tanzania,11675
#####,Kuwait,Thailand,1820
#####,Kuwait,Turkey,3246
#####,Kuwait,Uganda,458091
#####,Kuwait,Viet Nam,259
#####,Yemen,India,1
#####,Yemen,Malaysia,1
#####,Canada,Austria,47139
#####,Canada,Bangladesh,3
#####,Canada,Belgium,133900
#####,Canada,Brazil,4
#####,Canada,Bulgaria,9159
#####,Canada,Colombia,3
#####,Canada,Costa Rica,3
#####,Canada,Croatia,3925
#####,Canada,Cyprus,10784
#####,Canada,Czechia,56281
#####,Canada,Denmark,4765
#####,Canada,Egypt,1
#####,Canada,Estonia,4900
#####,Canada,Finland,8662
#####,Canada,France,73778
#####,Canada,Germany,777307
#####,Canada,Greece,3656
#####,Canada,Hungary,10776
#####,Canada,Iceland,23
#####,Canada,India,152801
#####,Canada,Ireland,1796
#####,Canada,Italy,119638
#####,Canada,"Korea, Republic of",6
#####,Canada,Latvia,10531
#####,Canada,Liechtenstein,6740
#####,Canada,Lithuania,26271
#####,Canada,Luxembourg,769
#####,Canada,Malta,6993
#####,Canada,Mexico,3
#####,Canada,Netherlands,76307
#####,Canada,Nigeria,10
#####,Canada,Norway,5155
#####,Canada,Pakistan,4
#####,Canada,Poland,49038
#####,Canada,Portugal,1687
#####,Canada,Romania,77378
#####,Canada,Slovakia,23726
#####,Canada,Slovenia,3950
#####,Canada,South Africa,2211
#####,Canada,Spain,148634
#####,Canada,Sweden,10871
#####,Canada,Switzerland,73664
#####,Canada,Thailand,633927
#####,Canada,Turkey,2
#####,Canada,United Arab Emirates,1
#####,Canada,United Kingdom,199125
#####,Canada,United States of America,20
#####,Canada,Viet Nam,6
#####,United Arab Emirates,Australia,10272
#####,United Arab Emirates,Austria,545
#####,United Arab Emirates,Belgium,334859
#####,United Arab Emirates,Georgia,1192
#####,United Arab Emirates,Germany,3948
#####,United Arab Emirates,India,5
#####,United Arab Emirates,Ireland,36749
#####,United Arab Emirates,Italy,344898
#####,United Arab Emirates,Lithuania,4237
#####,United Arab Emirates,Malaysia,3403
#####,United Arab Emirates,Netherlands,547
#####,United Arab Emirates,Poland,1608
#####,United Arab Emirates,Singapore,10933
#####,United Arab Emirates,United Kingdom,47652
#####,Iraq,Bahrain,1996
#####,Iraq,Bangladesh,68320
#####,Iraq,Brazil,10
#####,Iraq,Egypt,729563
#####,Iraq,Ethiopia,4612
#####,Iraq,India,159924
#####,Iraq,Indonesia,29437
#####,Iraq,Malaysia,27338
#####,Iraq,Morocco,791
#####,Iraq,Nepal,54642
#####,Iraq,Nigeria,6345
#####,Iraq,Pakistan,665
#####,Iraq,Philippines,2426
#####,Iraq,Sri Lanka,1928
#####,Iraq,Thailand,307
#####,Iraq,Turkey,1063
#####,Iraq,Uganda,49105
#####,Iraq,United Arab Emirates,10
#####,Qatar,Bangladesh,86968
#####,Qatar,India,1175358
#####,Qatar,Kenya,2
#####,Qatar,Malaysia,2
#####,Qatar,Nepal,356941
#####,Qatar,Tanzania,917
#####,Qatar,Uganda,5999
#####,Kuwait,Bangladesh,592648
#####,Kuwait,Benin,166
#####,Kuwait,Canada,3749
#####,Kuwait,China,1386352
#####,Kuwait,Ghana,30
#####,Kuwait,India,12362
#####,Kuwait,Indonesia,1197
#####,Kuwait,Kenya,5397
#####,Kuwait,Malaysia,94577
#####,Kuwait,Nepal,20
#####,Kuwait,Philippines,135777
#####,Kuwait,Sri Lanka,5087
#####,Kuwait,Thailand,12398
#####,Kuwait,Turkey,1
#####,Kuwait,Uganda,1327
#####,United Kingdom,India,0
#####,Kenya,C̫te d'Ivoire,2
#####,Kenya,India,2
#####,Kenya,Indonesia,3
#####,Kenya,Netherlands,2
#####,Kenya,Philippines,5
#####,Kenya,Thailand,9
#####,Kenya,Viet Nam,1
#####,Mauritius,India,6
#####,Mauritius,Nepal,1
#####,Mauritius,Pakistan,4
#####,Mauritius,Sri Lanka,2
#####,United Kingdom,Albania,3
#####,United Kingdom,Argentina,5
#####,United Kingdom,Australia,9
#####,United Kingdom,Bahrain,13
#####,United Kingdom,Bangladesh,20
#####,United Kingdom,Benin,27
#####,United Kingdom,Bolivia (Plurinational State of),10
#####,United Kingdom,Botswana,9
#####,United Kingdom,Brazil,12
#####,United Kingdom,Brunei Darussalam,9
#####,United Kingdom,Burkina Faso,21
#####,United Kingdom,Burundi,10
#####,United Kingdom,Cambodia,4
#####,United Kingdom,Cameroon,14
#####,United Kingdom,Canada,3
#####,United Kingdom,Central African Republic,6
#####,United Kingdom,Chad,10
#####,United Kingdom,Chile,5
#####,United Kingdom,Colombia,21
#####,United Kingdom,Congo,5
#####,United Kingdom,"Congo, Democratic Republic of the",4
#####,United Kingdom,Costa Rica,7
#####,United Kingdom,C̫te d'Ivoire,203
#####,United Kingdom,Dominican Republic,1
#####,United Kingdom,Ecuador,2
#####,United Kingdom,Egypt,32
#####,United Kingdom,El Salvador,5
#####,United Kingdom,Ethiopia,10
#####,United Kingdom,Gabon,12
#####,United Kingdom,Gambia,15
#####,United Kingdom,Georgia,4
#####,United Kingdom,Ghana,25
#####,United Kingdom,Guinea,8
#####,United Kingdom,Guinea-Bissau,8
#####,United Kingdom,Haiti,13
#####,United Kingdom,Hong Kong,108
#####,United Kingdom,India,102
#####,United Kingdom,Indonesia,25
#####,United Kingdom,Israel,5
#####,United Kingdom,Italy,19
#####,United Kingdom,Japan,3
#####,United Kingdom,Kenya,28
#####,United Kingdom,"Korea, Republic of",9
#####,United Kingdom,Lebanon,74
#####,United Kingdom,Lesotho,2
#####,United Kingdom,Liberia,5
#####,United Kingdom,Madagascar,6
#####,United Kingdom,Malawi,10
#####,United Kingdom,Malaysia,19
#####,United Kingdom,Mali,29
#####,United Kingdom,Mexico,11
#####,United Kingdom,Mongolia,7
#####,United Kingdom,Morocco,14
#####,United Kingdom,Mozambique,4
#####,United Kingdom,Myanmar,2
#####,United Kingdom,Nepal,23
#####,United Kingdom,Netherlands,47
#####,United Kingdom,Nicaragua,8
#####,United Kingdom,Niger,2
#####,United Kingdom,Nigeria,30
#####,United Kingdom,Pakistan,32
#####,United Kingdom,Peru,8
#####,United Kingdom,Philippines,22
#####,United Kingdom,Rwanda,21
#####,United Kingdom,Senegal,22
#####,United Kingdom,Sierra Leone,16
#####,United Kingdom,Singapore,14
#####,United Kingdom,South Africa,4
#####,United Kingdom,South Sudan,5
#####,United Kingdom,Spain,1
#####,United Kingdom,Sri Lanka,14
#####,United Kingdom,Sweden,2
#####,United Kingdom,Tanzania,19
#####,United Kingdom,Thailand,8
#####,United Kingdom,Togo,10
#####,United Kingdom,Tunisia,17
#####,United Kingdom,Turkey,20
#####,United Kingdom,Uganda,24
#####,United Kingdom,Ukraine,6
#####,United Kingdom,United Arab Emirates,3
#####,United Kingdom,United Kingdom,88
#####,United Kingdom,United States of America,22
#####,United Kingdom,Uruguay,7
#####,United Kingdom,Viet Nam,26
#####,United Kingdom,Zambia,20
#####,United Kingdom,Zimbabwe,11
#####,Australia,Belgium,498
#####,Australia,Brazil,1
#####,Australia,Burkina Faso,1
#####,Australia,Cameroon,1
#####,Australia,China,884
#####,Australia,Colombia,1
#####,Australia,C̫te d'Ivoire,4
#####,Australia,Croatia,73
#####,Australia,France,294
#####,Australia,Germany,276
#####,Australia,Ghana,47
#####,Australia,Hong Kong,1
#####,Australia,India,366931
#####,Australia,Indonesia,301
#####,Australia,Kenya,10
#####,Australia,"Korea, Republic of",12793
#####,Australia,Lithuania,2625
#####,Australia,Malaysia,0
#####,Australia,Mexico,1
#####,Australia,Netherlands,2109
#####,Australia,Nigeria,15
#####,Australia,Pakistan,6134
#####,Australia,Philippines,270
#####,Australia,Senegal,1
#####,Australia,Singapore,14029
#####,Australia,Tanzania,8
#####,Australia,Thailand,1
#####,Australia,Turkey,0
#####,Australia,Uganda,29
#####,Australia,United Arab Emirates,16374
#####,Australia,United Kingdom,3610
#####,Australia,Viet Nam,109
#####,Australia,Zambia,35
#####,United Kingdom,Bangladesh,912
#####,United Kingdom,Belgium,3176
#####,United Kingdom,Cyprus,4386
#####,United Kingdom,Finland,5886
#####,United Kingdom,Germany,10825
#####,United Kingdom,India,941272
#####,United Kingdom,Italy,492
#####,United Kingdom,Kenya,18259
#####,United Kingdom,Lithuania,9415
#####,United Kingdom,Nepal,6963341
#####,United Kingdom,Pakistan,12110
#####,United Kingdom,Philippines,2188
#####,United Kingdom,Portugal,13903
#####,United Kingdom,Spain,8526
#####,United Kingdom,Sri Lanka,13
#####,Australia,Bangladesh,32895
#####,Australia,Ghana,119411
#####,Australia,Kenya,317761
#####,Australia,Tanzania,33628
#####,Australia,Uganda,2719
#####,Australia,Zimbabwe,2720
#####,Austria,Bangladesh,2910
#####,Austria,Ghana,100908
#####,Austria,Kenya,598072
#####,Austria,Tanzania,1750
#####,Austria,Uganda,27
#####,Belgium,Bangladesh,4313
#####,Belgium,Ghana,59834
#####,Belgium,Kenya,155195
#####,Belgium,Mali,424
#####,Belgium,Senegal,420
#####,Belgium,Tanzania,1030
#####,Belgium,Uganda,6221
#####,Canada,Bangladesh,2109
#####,Canada,Kenya,22462
#####,Canada,Senegal,5202
#####,Canada,Tanzania,26331
#####,Cyprus,Bangladesh,3130
#####,Cyprus,Ghana,32875
#####,Cyprus,Kenya,479
#####,Cyprus,Senegal,1730
#####,Cyprus,Zimbabwe,19
#####,Denmark,Bangladesh,1705
#####,Denmark,Ghana,55215
#####,Denmark,Kenya,115429
#####,Denmark,Senegal,1360
#####,Denmark,Tanzania,7346
#####,Denmark,Uganda,30
#####,Estonia,Bangladesh,3108
#####,Estonia,Ghana,7871
#####,Estonia,Kenya,2752
#####,Estonia,Tanzania,75
#####,Finland,Bangladesh,21172
#####,Finland,Ghana,61448
#####,Finland,Kenya,279355
#####,Finland,Tanzania,2293
#####,Finland,Uganda,5073
#####,France,Bangladesh,6575
#####,France,Ghana,71872
#####,France,Kenya,336495
#####,France,Mali,20558
#####,France,Senegal,27476
#####,France,Tanzania,1117
#####,France,Uganda,10407
#####,Germany,Bangladesh,34136
#####,Germany,Ghana,1036327
#####,Germany,Kenya,5707769
#####,Germany,Mali,286
#####,Germany,Senegal,7405
#####,Germany,Tanzania,59631
#####,Germany,Uganda,100708
#####,Germany,Zimbabwe,82
#####,Greece,Bangladesh,244
#####,Greece,Ghana,921
#####,Greece,Kenya,4741
#####,Greece,Uganda,1706
#####,Ireland,Bangladesh,2429
#####,Ireland,Ghana,78708
#####,Ireland,Kenya,248282
#####,Ireland,Senegal,8882
#####,Ireland,Tanzania,1182
#####,Ireland,Uganda,793
#####,Ireland,Zimbabwe,221
#####,Italy,Bangladesh,8520
#####,Italy,Ghana,141701
#####,Italy,Kenya,159789
#####,Italy,Senegal,1952
#####,Italy,Tanzania,309
#####,Italy,Uganda,11
#####,Latvia,Kenya,69
#####,Lithuania,Bangladesh,1408
#####,Lithuania,Kenya,1587
#####,Luxembourg,Ghana,13451
#####,Luxembourg,Kenya,4582
#####,Luxembourg,Senegal,67
#####,Luxembourg,Tanzania,325
#####,Luxembourg,Uganda,21
#####,Malta,Bangladesh,1523
#####,Malta,Ghana,12039
#####,Malta,Kenya,2361
#####,Malta,Tanzania,548
#####,Netherlands,Bangladesh,4804
#####,Netherlands,Ghana,268196
#####,Netherlands,Kenya,120296
#####,Netherlands,Senegal,5342
#####,Netherlands,Tanzania,1003
#####,Netherlands,Uganda,20506
#####,Norway,Bangladesh,931
#####,Norway,Ghana,109813
#####,Norway,Kenya,191471
#####,Norway,Tanzania,13688
#####,Norway,Uganda,822
#####,Poland,Bangladesh,42356
#####,Poland,Ghana,33572
#####,Poland,Kenya,84877
#####,Poland,Mali,10302
#####,Poland,Tanzania,2031
#####,Poland,Uganda,9145
#####,Poland,Zimbabwe,200
#####,Portugal,Bangladesh,4452
#####,Portugal,Ghana,26923
#####,Slovakia,Ghana,5787
#####,Slovakia,Kenya,9273
#####,Slovakia,Tanzania,4231
#####,Slovenia,Ghana,2890
#####,Slovenia,Kenya,56
#####,Spain,Ghana,44681
#####,Spain,Kenya,126303
#####,Spain,Mali,1662
#####,Spain,Senegal,331
#####,Spain,Tanzania,2939
#####,Spain,Uganda,227
#####,Sweden,Bangladesh,3816
#####,Sweden,Ghana,147436
#####,Sweden,Kenya,168272
#####,Sweden,Mali,16
#####,Sweden,Senegal,4312
#####,Sweden,Tanzania,57452
#####,Sweden,Uganda,9705
#####,Sweden,Zimbabwe,273
#####,Switzerland,Bangladesh,1830
#####,Switzerland,Ghana,30326
#####,Switzerland,Kenya,172918
#####,Switzerland,Mali,703
#####,Switzerland,Senegal,23427
#####,Switzerland,Tanzania,3304
#####,Switzerland,Uganda,3129
#####,United Kingdom,Bangladesh,183603
#####,United Kingdom,Ghana,1026980
#####,United Kingdom,Kenya,1010472
#####,United Kingdom,Mali,3379
#####,United Kingdom,Senegal,22027
#####,United Kingdom,Tanzania,52722
#####,United Kingdom,Uganda,213343
#####,United Kingdom,Zimbabwe,1322
#####,Kuwait,Bangladesh,10774
#####,Kuwait,Benin,263736
#####,Kuwait,Cameroon,70066
#####,Kuwait,C̫te d'Ivoire,77939
#####,Kuwait,Ethiopia,1355
#####,Kuwait,Ghana,912600
#####,Kuwait,Italy,3
#####,Kuwait,Kenya,17907
#####,Kuwait,Madagascar,781
#####,Kuwait,Mali,550621
#####,Kuwait,Nepal,7
#####,Kuwait,Philippines,187597
#####,Kuwait,Sierra Leone,316
#####,Kuwait,Tanzania,903
#####,Kuwait,Thailand,100498
#####,Kuwait,Turkey,39271
#####,Kuwait,Uganda,124896
#####,Kuwait,United Kingdom,4
#####,Bahrain,Bangladesh,709
#####,Bahrain,India,8
#####,Bahrain,Kenya,13
#####,Bahrain,Malaysia,3
#####,Bahrain,Philippines,3
#####,Bahrain,Thailand,3
#####,Bahrain,Uganda,33
#####,United States of America,Bangladesh,4
#####,United States of America,Cameroon,2
#####,United States of America,China,3
#####,United States of America,Egypt,307
#####,United States of America,India,3
#####,United States of America,Kenya,2
#####,United States of America,Malaysia,931
#####,United States of America,Philippines,2
#####,United States of America,Uganda,34420
#####,Ecuador,Colombia,607467
#####,United Kingdom,Belgium,1553
#####,United Kingdom,Germany,1233
#####,United Kingdom,Lithuania,140
#####,United Kingdom,Malaysia,12
#####,United Kingdom,United Kingdom,27
#####,Saudi Arabia,Austria,3263
#####,Saudi Arabia,Bangladesh,1362963
#####,Saudi Arabia,Belgium,52772
#####,Saudi Arabia,Bulgaria,7791
#####,Saudi Arabia,Burkina Faso,3668
#####,Saudi Arabia,Cameroon,2748
#####,Saudi Arabia,Canada,10556
#####,Saudi Arabia,China,17699
#####,Saudi Arabia,Colombia,12
#####,Saudi Arabia,C̫te d'Ivoire,26
#####,Saudi Arabia,Cyprus,7241
#####,Saudi Arabia,Czechia,3571
#####,Saudi Arabia,Denmark, -   
#####,Saudi Arabia,Egypt,1717494
#####,Saudi Arabia,Ethiopia,67045
#####,Saudi Arabia,Finland,16
#####,Saudi Arabia,France,17138
#####,Saudi Arabia,Germany,26970
#####,Saudi Arabia,Greece,13236
#####,Saudi Arabia,Hungary,6126
#####,Saudi Arabia,India,1792637
#####,Saudi Arabia,Indonesia,362246
#####,Saudi Arabia,Ireland,28549
#####,Saudi Arabia,Italy,46582
#####,Saudi Arabia,Kenya,8
#####,Saudi Arabia,Liberia,5558
#####,Saudi Arabia,Lithuania,43418
#####,Saudi Arabia,Malaysia,87948
#####,Saudi Arabia,Mali,15769
#####,Saudi Arabia,Malta,661
#####,Saudi Arabia,Nepal,119630
#####,Saudi Arabia,Netherlands,13073
#####,Saudi Arabia,Pakistan,9941267
#####,Saudi Arabia,Philippines,946646
#####,Saudi Arabia,Portugal,2224
#####,Saudi Arabia,Romania,2280
#####,Saudi Arabia,Rwanda,16
#####,Saudi Arabia,Senegal,3060
#####,Saudi Arabia,Sierra Leone,614
#####,Saudi Arabia,Slovakia,2720
#####,Saudi Arabia,Slovenia,39
#####,Saudi Arabia,Spain,92874
#####,Saudi Arabia,Sri Lanka,78396
#####,Saudi Arabia,Sweden,523
#####,Saudi Arabia,Switzerland,21937
#####,Saudi Arabia,Thailand,123480
#####,Saudi Arabia,Uganda,5
#####,Saudi Arabia,United Arab Emirates,8
#####,Saudi Arabia,United Kingdom,1266644
#####,Saudi Arabia,United States of America,9389
#####,Saudi Arabia,Viet Nam,684
#####,Saudi Arabia,Zambia,261
#####,Bahrain,Bangladesh,17579163
#####,Bahrain,Egypt,437
#####,Bahrain,Ethiopia,647
#####,Bahrain,Ghana,172626
#####,Bahrain,India,30097879
#####,Bahrain,Italy, -   
#####,Bahrain,Kenya,387458
#####,Bahrain,Nepal,522321
#####,Bahrain,Nigeria,1775
#####,Bahrain,Pakistan,2338872
#####,Bahrain,Philippines,5166465
#####,Bahrain,Rwanda,5357
#####,Bahrain,Sri Lanka,11476
#####,Bahrain,Tanzania,17458
#####,Bahrain,Thailand,995431
#####,Bahrain,Uganda,1115
#####,Bahrain,United Kingdom,0
#####,United Arab Emirates,Bangladesh,1612395
#####,United Arab Emirates,Cameroon,9
#####,United Arab Emirates,China,4900
#####,United Arab Emirates,India,3854809
#####,United Arab Emirates,Kenya,24516
#####,United Arab Emirates,Malaysia,3
#####,United Arab Emirates,Nepal,94926
#####,United Arab Emirates,Pakistan,291634
#####,United Arab Emirates,Philippines,138959
#####,United Arab Emirates,Poland,5
#####,United Arab Emirates,United Kingdom,23533
#####,United Arab Emirates,United States of America,4
#####,United Arab Emirates,Turkey,15
#####,United Arab Emirates,United States of America,5
#####,Belgium,Austria,2140
#####,Belgium,Bangladesh,2577
#####,Belgium,Belgium,420903
#####,Belgium,Benin,6963
